"codigo_ibge";"municipio";"uf_sigla";"porte_populacional";"ano_2020";"media_pos";"perfil_mudanca"
"4317301";"SANTA VITORIA DO PALMAR";"RS";"Pequeno Porte II";"2,37669996157361e+01";"3,47272044150352e+01";"1. Despertados (Efeito Indutor)"
"4317400";"SANTIAGO";"RS";"Pequeno Porte II";"2,14299922741581e+01";"1,99897556534187e+01";"2. Constantes (Sustentabilidade)"
"4317558";"SANTO ANTONIO DO PALMA";"RS";"Pequeno Porte I";"4,99185205325051e+01";"1,44581804484206e+02";"1. Despertados (Efeito Indutor)"
"4317608";"SANTO ANTONIO DA PATRULHA";"RS";"Pequeno Porte II";"1,33160856452908e+01";"3,47520548392834e+01";"1. Despertados (Efeito Indutor)"
"4317707";"SANTO ANTONIO DAS MISSOES";"RS";"Pequeno Porte I";"2,81378612813320e+01";"4,71452427614872e+01";"1. Despertados (Efeito Indutor)"
"4317756";"SANTO ANTONIO DO PLANALTO";"RS";"Pequeno Porte I";"9,37521480722902e+01";"1,73002989720602e+02";"1. Despertados (Efeito Indutor)"
"4317806";"SANTO AUGUSTO";"RS";"Pequeno Porte I";"5,47013357294786e+01";"4,80933756970423e+01";"2. Constantes (Sustentabilidade)"
"4317905";"SANTO CRISTO";"RS";"Pequeno Porte I";"5,87843804457958e+01";"7,37950930040526e+01";"2. Constantes (Sustentabilidade)"
"4317954";"SANTO EXPEDITO DO SUL";"RS";"Pequeno Porte I";"6,13876495243536e+00";"0,00000000000000e+00";"2. Constantes (Sustentabilidade)"
"4318002";"SAO BORJA";"RS";"Médio Porte";"1,85008597784161e+01";"1,80992882058195e+01";"2. Constantes (Sustentabilidade)"
"4318101";"SAO FRANCISCO DE ASSIS";"RS";"Pequeno Porte I";"1,51135450957426e+01";"2,34257875241767e+01";"1. Despertados (Efeito Indutor)"
"4318200";"SAO FRANCISCO DE PAULA";"RS";"Pequeno Porte II";"2,01005405423356e+01";"8,44825826737872e+01";"1. Despertados (Efeito Indutor)"
"4318309";"SAO GABRIEL";"RS";"Médio Porte";"0,00000000000000e+00";"1,98064788692636e+01";"1. Despertados (Efeito Indutor)"
"4318408";"SAO JERONIMO";"RS";"Pequeno Porte II";"1,52493791811590e+01";"1,04354924194784e+01";"2. Constantes (Sustentabilidade)"
"4318424";"SAO JOAO DA URTIGA";"RS";"Pequeno Porte I";"1,46156595637134e+01";"2,27803041496670e+01";"1. Despertados (Efeito Indutor)"
"4318432";"SAO JOAO DO POLESINE";"RS";"Pequeno Porte I";"1,26356692098478e+02";"1,97969839151207e+02";"1. Despertados (Efeito Indutor)"
"4318440";"SAO JORGE";"RS";"Pequeno Porte I";"4,30885880535304e+00";"1,79217538323773e+02";"1. Despertados (Efeito Indutor)"
"4318465";"SAO JOSE DO HERVAL";"RS";"Pequeno Porte I";"2,59991381092976e+01";"1,30247988791489e+02";"1. Despertados (Efeito Indutor)"
"4318481";"SAO JOSE DO HORTENCIO";"RS";"Pequeno Porte I";"1,83406034097780e+01";"1,79359969732630e+02";"1. Despertados (Efeito Indutor)"
"4318499";"SAO JOSE DO INHACORA";"RS";"Pequeno Porte I";"1,21296004747523e+02";"1,62110479886279e+02";"1. Despertados (Efeito Indutor)"
"4318507";"SAO JOSE DO NORTE";"RS";"Pequeno Porte II";"6,96850695168366e+01";"5,71315571783565e+01";"2. Constantes (Sustentabilidade)"
"4318606";"SAO JOSE DO OURO";"RS";"Pequeno Porte I";"1,43386448180491e+01";"0,00000000000000e+00";"4. Efeito Substituição (Retração Local)"
"4318622";"SAO JOSE DOS AUSENTES";"RS";"Pequeno Porte I";"1,37999563169771e+01";"9,59294673176977e+00";"2. Constantes (Sustentabilidade)"
"4318705";"SAO LEOPOLDO";"RS";"Grande Porte";"1,18145532330789e+01";"2,52893126618091e+01";"1. Despertados (Efeito Indutor)"
"4318804";"SAO LOURENCO DO SUL";"RS";"Pequeno Porte II";"1,95868015639245e+01";"1,46532247315755e+01";"2. Constantes (Sustentabilidade)"
"4319000";"SAO MARCOS";"RS";"Pequeno Porte II";"3,70154148402249e+01";"3,02412678206120e+01";"2. Constantes (Sustentabilidade)"
"4319109";"SAO MARTINHO";"RS";"Pequeno Porte I";"9,38104426729770e+01";"9,91777891246035e+01";"2. Constantes (Sustentabilidade)"
"4319125";"SAO MARTINHO DA SERRA";"RS";"Pequeno Porte I";"2,56081712676035e+01";"2,25733227488753e+01";"2. Constantes (Sustentabilidade)"
"4319158";"SAO MIGUEL DAS MISSOES";"RS";"Pequeno Porte I";"9,83619626937997e+01";"1,05192464185895e+02";"2. Constantes (Sustentabilidade)"
"4319307";"SAO PAULO DAS MISSOES";"RS";"Pequeno Porte I";"5,40093973875318e+01";"5,61741500318186e+01";"2. Constantes (Sustentabilidade)"
"4319372";"SAO PEDRO DO BUTIA";"RS";"Pequeno Porte I";"0,00000000000000e+00";"7,64907786348395e+00";"1. Despertados (Efeito Indutor)"
"4319406";"SAO PEDRO DO SUL";"RS";"Pequeno Porte I";"2,45033725506332e+01";"2,60397512560388e+01";"2. Constantes (Sustentabilidade)"
"4319505";"SAO SEBASTIAO DO CAI";"RS";"Pequeno Porte II";"4,23704540071273e+01";"6,50437532840694e+01";"1. Despertados (Efeito Indutor)"
"4319604";"SAO SEPE";"RS";"Pequeno Porte II";"7,22607234862034e+01";"1,22358946706629e+02";"1. Despertados (Efeito Indutor)"
"4319703";"SAO VALENTIM";"RS";"Pequeno Porte I";"6,90341846765944e+00";"0,00000000000000e+00";"4. Efeito Substituição (Retração Local)"
"4319802";"SAO VICENTE DO SUL";"RS";"Pequeno Porte I";"1,17080753149433e+01";"5,10289281735044e+00";"2. Constantes (Sustentabilidade)"
"4319901";"SAPIRANGA";"RS";"Médio Porte";"3,98694620433255e+01";"5,78783573244215e+01";"1. Despertados (Efeito Indutor)"
"4320008";"SAPUCAIA DO SUL";"RS";"Grande Porte";"7,87882990392909e+00";"9,50622395774704e+00";"2. Constantes (Sustentabilidade)"
"4320107";"SARANDI";"RS";"Pequeno Porte II";"4,69396725113859e+01";"5,16034682683026e+01";"2. Constantes (Sustentabilidade)"
"4320206";"SEBERI";"RS";"Pequeno Porte I";"1,10477416974203e+01";"3,43925614452647e+01";"1. Despertados (Efeito Indutor)"
"4320230";"SEDE NOVA";"RS";"Pequeno Porte I";"9,36196150743705e+01";"1,78870660672525e+02";"1. Despertados (Efeito Indutor)"
"4320263";"SEGREDO";"RS";"Pequeno Porte I";"1,87202459341617e+01";"7,22476956853658e+01";"1. Despertados (Efeito Indutor)"
