"codigo_ibge";"municipio";"uf_sigla";"porte_populacional";"ano_2020";"media_pos";"perfil_mudanca"
"3500709";"AGUDOS";"SP";"Pequeno Porte II";"25,770920221020492846";"37,54968213611363126";"1. Despertados (Efeito Indutor)"
"3500808";"ALFREDO MARCONDES";"SP";"Pequeno Porte I";"0,000000000000000000";"8,66429265262992132";"1. Despertados (Efeito Indutor)"
"3500907";"ALTAIR";"SP";"Pequeno Porte I";"36,379722064153391159";"35,55075770262133261";"2. Constantes (Sustentabilidade)"
"3501004";"ALTINOPOLIS";"SP";"Pequeno Porte I";"4,127795435312048511";"0,00000000000000000";"2. Constantes (Sustentabilidade)"
"3501103";"ALTO ALEGRE";"SP";"Pequeno Porte I";"15,384262571339599290";"44,05283734967014198";"1. Despertados (Efeito Indutor)"
"3501152";"ALUMINIO";"SP";"Pequeno Porte I";"86,458166253973544713";"108,93927962932977493";"1. Despertados (Efeito Indutor)"
"3501202";"ALVARES FLORENCE";"SP";"Pequeno Porte I";"0,258759155402603080";"29,62853959734965770";"1. Despertados (Efeito Indutor)"
"3501301";"ALVARES MACHADO";"SP";"Pequeno Porte II";"12,892906481824113030";"15,59765182569799968";"2. Constantes (Sustentabilidade)"
"3501509";"ALVINLANDIA";"SP";"Pequeno Porte I";"0,000000000000000000";"37,89354665972355463";"1. Despertados (Efeito Indutor)"
"3501608";"AMERICANA";"SP";"Grande Porte";"62,679589191638442003";"44,50642315536954641";"4. Efeito Substituição (Retração Local)"
"3501707";"AMERICO BRASILIENSE";"SP";"Pequeno Porte II";"17,477134952820172487";"19,60536469546294569";"2. Constantes (Sustentabilidade)"
"3501806";"AMERICO DE CAMPOS";"SP";"Pequeno Porte I";"127,339897557648328075";"95,96663152007904785";"4. Efeito Substituição (Retração Local)"
"3502002";"ANALANDIA";"SP";"Pequeno Porte I";"1,318313199585615658";"49,54127482584061681";"1. Despertados (Efeito Indutor)"
"3502101";"ANDRADINA";"SP";"Médio Porte";"16,005309651225971379";"25,09157267757311871";"1. Despertados (Efeito Indutor)"
"3502309";"ANHEMBI";"SP";"Pequeno Porte I";"14,344855507905915459";"21,98577703379110559";"2. Constantes (Sustentabilidade)"
"3502507";"APARECIDA";"SP";"Pequeno Porte II";"20,534426037414455379";"38,44629036811338807";"1. Despertados (Efeito Indutor)"
"3502606";"APARECIDA D'OESTE";"SP";"Pequeno Porte I";"23,756288986146241626";"149,10644349724839230";"1. Despertados (Efeito Indutor)"
"3502705";"APIAI";"SP";"Pequeno Porte II";"40,217844628973438148";"59,03494608925027620";"1. Despertados (Efeito Indutor)"
"3502754";"ARACARIGUAMA";"SP";"Pequeno Porte II";"46,728160436423472390";"114,11445676346531286";"1. Despertados (Efeito Indutor)"
"3502804";"ARACATUBA";"SP";"Grande Porte";"29,429350621305491842";"59,70741780388122777";"1. Despertados (Efeito Indutor)"
"3502903";"ARACOIABA DA SERRA";"SP";"Pequeno Porte II";"57,823666935981094639";"100,41333732084683561";"1. Despertados (Efeito Indutor)"
"3503000";"ARAMINA";"SP";"Pequeno Porte I";"38,861162323511642569";"156,59184073362916934";"1. Despertados (Efeito Indutor)"
"3503109";"ARANDU";"SP";"Pequeno Porte I";"40,975468337535936314";"106,76177754617205551";"1. Despertados (Efeito Indutor)"
"3503208";"ARARAQUARA";"SP";"Grande Porte";"44,468114770730103658";"62,30712110587431596";"1. Despertados (Efeito Indutor)"
"3503307";"ARARAS";"SP";"Grande Porte";"24,890390436837225963";"23,10010574447789011";"2. Constantes (Sustentabilidade)"
"3503406";"AREALVA";"SP";"Pequeno Porte I";"26,657575352017268244";"12,29819204450614833";"4. Efeito Substituição (Retração Local)"
"3503505";"AREIAS";"SP";"Pequeno Porte I";"46,989018437546896223";"130,19119280644702030";"1. Despertados (Efeito Indutor)"
"3503604";"AREIOPOLIS";"SP";"Pequeno Porte I";"17,546933763669358086";"8,13222731124690945";"4. Efeito Substituição (Retração Local)"
"3503802";"ARTUR NOGUEIRA";"SP";"Médio Porte";"59,988314836879588654";"140,27021395846821861";"1. Despertados (Efeito Indutor)"
"3503901";"ARUJA";"SP";"Médio Porte";"14,436880739355219205";"18,32558337555898120";"2. Constantes (Sustentabilidade)"
"3503950";"ASPASIA";"SP";"Pequeno Porte I";"1,773117669244972161";"19,21260330934355665";"1. Despertados (Efeito Indutor)"
"3504008";"ASSIS";"SP";"Grande Porte";"39,589574884193680759";"64,72877108485445774";"1. Despertados (Efeito Indutor)"
"3504107";"ATIBAIA";"SP";"Grande Porte";"71,923141565785940088";"77,46625476316094705";"2. Constantes (Sustentabilidade)"
