"cod_municipio","municipio","ano","tipo_orgao_gestor","tem_plano","tem_conselho","tem_fundo","tem_lei_patrimonio","tem_cons_patrimonio","equip_biblioteca","equip_museu","equip_teatro","equip_cinema","gestor_sexo","gestor_idade","gestor_cor_raca","gestor_escolaridade","gestor_escolaridade_agrupada","orcamento_perc_executado"
"2514404","São José de Espinharas",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Sim","Não","Não",NA,NA,NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514404","São José de Espinharas",2014,"Não possui estrutura","Não","Não","Não","Não","Não","Sim","Sim","Não","Não","-","-",NA,"-","Sem Informação",NA
"2514404","São José de Espinharas",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","42","Branca","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514404","São José de Espinharas",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","45","Branca","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu","Sem Informação"
"2514453","São José dos Ramos",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514453","São José dos Ramos",2014,"Secretaria em conjunto com outras políticas","Não","Sim","Não","Não","Não","Sim","Não","Sim","Não","Feminino","34",NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514453","São José dos Ramos",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Sim","Não","Não","Não","Sim","Não","Não","Não","Feminino","21","Parda","Ensino superior incompleto","Ensino Médio a Pós-graduação lato sensu",NA
"2514453","São José dos Ramos",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Não","Não","Não","Não","Masculino","30","Parda","Ensino médio (2º Grau) incompleto","Ensino Médio a Pós-graduação lato sensu","0%"
"2514503","São José de Piranhas",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Não","Não","Sim","Não",NA,NA,NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514503","São José de Piranhas",2014,"Não possui estrutura","Não","Não","Não","Não","Não","Sim","Não","Não","Não","-","-",NA,"-","Sem Informação",NA
