"cod_municipio","municipio","cod_uf","uf","regiao","ano","populacao","tipo_orgao_gestor","tem_plano","tem_conselho","tem_fundo","tem_lei_patrimonio","tem_cons_patrimonio","equip_biblioteca","equip_museu","equip_teatro","equip_cinema","gestor_sexo","gestor_idade","gestor_cor_raca","gestor_escolaridade","gestor_idade_num","gestor_faixa_etaria","gestor_cor_raca_limpa","gestor_grupo_raca","gestor_escolaridade_agrupada","plano_tem_lei","plano_participacao_soc","sec_educacao","sec_esporte","sec_turismo","cons_qtd_membros","cons_cap_continuada","cons_cap_eventual","cons_cap_nao_realiza","orcamento_perc_executado"
"2508703","Mãe dÁgua","25","PB","Nordeste",2021,3988,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","60","Preta","Ensino médio (2º Grau) completo",60,"60 anos ou mais","Preta","Negros (Pretos e Pardos)","Ensino Médio","Não","Não","Não","Não","Não",NA,"Não","Não","Não","Sem Informação"
"2508802","Malta","25","PB","Nordeste",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Sim","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino médio (2º Grau) completo",NA,NA,NA,NA,"Ensino Médio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508802","Malta","25","PB","Nordeste",2014,NA,"Secretaria em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","48",NA,"Ensino médio completo",48,"40 a 49 anos",NA,NA,"Ensino Médio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508802","Malta","25","PB","Nordeste",2018,NA,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","50","Parda","Ensino médio (2º Grau) completo",50,"50 a 59 anos","Parda","Negros (Pretos e Pardos)","Ensino Médio","Não","Não","Não","Não","Não",NA,"Não","Não","Não",NA
"2508802","Malta","25","PB","Nordeste",2021,5745,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","54","Branca","Ensino superior completo",54,"50 a 59 anos","Branca","Brancos","Ensino Superior","Não","Não","Não","Não","Não",NA,"Não","Não","Não","Até 10%"
"2508901","Mamanguape","25","PB","Nordeste",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não",NA,NA,NA,"Pós-graduação",NA,NA,NA,NA,"Pós-Graduação",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508901","Mamanguape","25","PB","Nordeste",2014,NA,"Setor subordinado à outra secretaria","Não","Não","Não","Não","Não","Sim","Não","Sim","Sim","Feminino","29",NA,"Ensino superior completo",29,"Até 29 anos",NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508901","Mamanguape","25","PB","Nordeste",2018,NA,"Setor subordinado a outra secretaria","Não","Não","Não","Não","Não","Não","Não","Não","Não","Masculino","37","Branca","Mestrado",37,"30 a 39 anos","Branca","Brancos","Pós-Graduação","Não","Não","Não","Não","Não",NA,"Não","Não","Não",NA
"2508901","Mamanguape","25","PB","Nordeste",2021,45385,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Não","Sim","Não","Feminino","43","Preta","Ensino superior completo",43,"40 a 49 anos","Preta","Negros (Pretos e Pardos)","Ensino Superior","Não","Não","Não","Não","Não",NA,"Não","Não","Não","Sem Informação"
"2509008","Manaíra","25","PB","Nordeste",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Pós-graduação",NA,NA,NA,NA,"Pós-Graduação",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2509008","Manaíra","25","PB","Nordeste",2014,NA,"Não possui estrutura","Não","Não","Não","Não","Não","Sim","Sim","Não","Não","-","-",NA,"-",NA,NA,NA,NA,"Sem Informação",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2509008","Manaíra","25","PB","Nordeste",2018,NA,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Feminino","47","Parda","Ensino superior completo",47,"40 a 49 anos","Parda","Negros (Pretos e Pardos)","Ensino Superior","Não","Não","Não","Não","Não",NA,"Não","Não","Não",NA
"2509008","Manaíra","25","PB","Nordeste",2021,10988,"Secretaria em conjunto com outras políticas setoriais","Não","Sim","Não","Não","Não","Sim","Sim","Não","Não","Feminino","55","Parda","Especialização",55,"50 a 59 anos","Parda","Negros (Pretos e Pardos)","Pós-Graduação","Não","Não","Não","Não","Não",8,"Não","Sim","Não","71% a 80%"
"2509057","Marcação","25","PB","Nordeste",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Não","Não","Não","Não",NA,NA,NA,"Pós-graduação",NA,NA,NA,NA,"Pós-Graduação",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2509057","Marcação","25","PB","Nordeste",2014,NA,"Não possui estrutura","Não","Não","Não","Não","Não","Sim","Não","Não","Não","-","-",NA,"-",NA,NA,NA,NA,"Sem Informação",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2509057","Marcação","25","PB","Nordeste",2018,NA,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","45","Indígena","Ensino fundamental (1º Grau) completo",45,"40 a 49 anos","Indígena","Amarela / Indígena","Ensino Fundamental","Não","Não","Não","Não","Não",NA,"Não","Não","Não",NA
"2509057","Marcação","25","PB","Nordeste",2021,8746,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Sim","Não","Masculino","49","Indígena","Ensino fundamental (1º Grau) completo",49,"40 a 49 anos","Indígena","Amarela / Indígena","Ensino Fundamental","Não","Não","Não","Não","Não",NA,"Não","Não","Não","31% a 40%"
"2509107","Mari","25","PB","Nordeste",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Pós-graduação",NA,NA,NA,NA,"Pós-Graduação",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2509107","Mari","25","PB","Nordeste",2014,NA,"Setor subordinado à outra secretaria","Não","Sim","Sim","Não","Não","Sim","Não","Não","Não","Masculino","49",NA,"Ensino médio completo",49,"40 a 49 anos",NA,NA,"Ensino Médio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2509107","Mari","25","PB","Nordeste",2018,NA,"Setor subordinado a outra secretaria","Não","Sim","Sim","Não","Não","-","-","-","-","Masculino","37","Parda","Ensino superior incompleto",37,"30 a 39 anos","Parda","Negros (Pretos e Pardos)","Ensino Superior","Não","Não","Não","Não","Não",20,"Não","Não","Sim",NA
"2509107","Mari","25","PB","Nordeste",2021,21895,"Secretaria em conjunto com outras políticas setoriais","Não","Sim","Não","Não","Não","Sim","Não","Não","Não","Feminino","35","Parda","Mestrado",35,"30 a 39 anos","Parda","Negros (Pretos e Pardos)","Pós-Graduação","Não","Não","Não","Não","Não",NA,"Não","Não","Não","Até 10%"
